Municipality,GEO_ID,Firm_Sale_Amount,Ethnicity,Gender,Employee_Amount,Amount_of_Firms,State
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$100,000-$249,999",Equally Hispanic/non-Hispanic,Total,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$250,000-$499,999",Equally Hispanic/non-Hispanic,Total,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$500,000-$999,999",Equally Hispanic/non-Hispanic,Total,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$1,000,000 or more",Equally Hispanic/non-Hispanic,Total,0,0,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"Less than $5,000",Non-Hispanic,Total,1325,336,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$5,000-$9,999",Non-Hispanic,Total,803,530,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$10,000-$24,999",Non-Hispanic,Total,1825,1557,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$25,000-$49,999",Non-Hispanic,Total,1784,2138,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$500,000-$999,999",Non-Hispanic,Total,32471,5914,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$50,000-$99,999",Non-Hispanic,Total,6032,5016,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$100,000-$249,999",Non-Hispanic,Total,17161,9705,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$250,000-$499,999",Non-Hispanic,Total,22130,7322,Florida
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,"$1,000,000 or more",Non-Hispanic,Total,379511,10819,Florida
