NAME,GEO_ID,RCPSZFI,NAICS2017_LABEL,ETH_GROUP,SEX,EMPSZFI,EMP,FIRMPDEMP,NAICS2017,metropolitan statistical area/micropolitan statistical area
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,519,Total for all sectors,001,003,001,826,859,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,521,Total for all sectors,001,003,001,1642,1712,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,522,Total for all sectors,001,003,001,4022,3855,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,523,Total for all sectors,001,003,001,12771,7608,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,525,Total for all sectors,001,003,001,18673,7215,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,531,Total for all sectors,001,003,001,33055,5881,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,532,Total for all sectors,001,003,001,306753,10569,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,004,001,68733,9196,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,004,611,0,985,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,004,612,9514,4833,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,004,620,9945,1522,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,004,630,13153,954,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,004,641,19697,726,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,004,642,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,004,651,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,004,652,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,004,657,5373,27,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,511,Total for all sectors,001,004,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,518,Total for all sectors,001,004,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,519,Total for all sectors,001,004,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,521,Total for all sectors,001,004,001,354,313,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,522,Total for all sectors,001,004,001,1137,908,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,523,Total for all sectors,001,004,001,5159,2027,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,525,Total for all sectors,001,004,001,5670,1696,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,531,Total for all sectors,001,004,001,9192,1529,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,532,Total for all sectors,001,004,001,46865,2350,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,001,001,44152,5848,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,001,611,0,647,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,001,612,6147,3291,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,001,620,7178,1050,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,001,630,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,001,641,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,001,642,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,001,651,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,001,652,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,001,657,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,511,Total for all sectors,020,001,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,518,Total for all sectors,020,001,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,519,Total for all sectors,020,001,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,521,Total for all sectors,020,001,001,306,335,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,522,Total for all sectors,020,001,001,900,634,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,523,Total for all sectors,020,001,001,1918,1206,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,525,Total for all sectors,020,001,001,4090,1221,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,531,Total for all sectors,020,001,001,6732,1182,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,532,Total for all sectors,020,001,001,30098,1094,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,002,001,13526,1697,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,003,001,23632,3682,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,020,004,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,028,001,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,028,001,611,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,028,001,612,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,028,001,620,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,028,001,630,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,028,001,641,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,028,001,642,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,028,001,651,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,028,001,657,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,511,Total for all sectors,028,001,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,518,Total for all sectors,028,001,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,519,Total for all sectors,028,001,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,521,Total for all sectors,028,001,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,522,Total for all sectors,028,001,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,523,Total for all sectors,028,001,001,679,190,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,525,Total for all sectors,028,001,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,531,Total for all sectors,028,001,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,532,Total for all sectors,028,001,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,028,002,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,028,003,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,028,004,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,001,001,482577,54348,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,001,611,0,7847,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,001,612,52869,28631,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,001,620,50198,7698,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,001,630,59328,4437,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,001,641,88691,3184,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,001,642,45118,893,00,45300
