DATE,NGMP36740
2001-01-01,63422.275
2002-01-01,67134.663
2003-01-01,71853.784
2004-01-01,79194.319
2005-01-01,88007.882
2006-01-01,93828.103
2007-01-01,99043.393
2008-01-01,97528.159
2009-01-01,93035.042
2010-01-01,94105.561
2011-01-01,95451.46
2012-01-01,99955.498
2013-01-01,104871.955
2014-01-01,110830.638
2015-01-01,119537.19
2016-01-01,126184.882
2017-01-01,133740.648
2018-01-01,141091.139
2019-01-01,149517.211
2020-01-01,146306.136
2021-01-01,167279.974
