DATE,RGMP33100
2001-01-01,227290.316
2002-01-01,236275.343
2003-01-01,245314.921
2004-01-01,258885.362
2005-01-01,273957.084
2006-01-01,281129.81
2007-01-01,282649.013
2008-01-01,270625.653
2009-01-01,252920.898
2010-01-01,260032.3
2011-01-01,260331.085
2012-01-01,261234.789
2013-01-01,268003.153
2014-01-01,276766.564
2015-01-01,288627.74
2016-01-01,297645.491
2017-01-01,309184.256
2018-01-01,319777.839
2019-01-01,324371.211
2020-01-01,312031.629
2021-01-01,341292.101
