NAME,GEO_ID,RCPSZFI,NAICS2017_LABEL,ETH_GROUP,SEX,EMPSZFI,EMP,FIRMPDEMP,NAICS2017,metropolitan statistical area/micropolitan statistical area
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,522,Total for all sectors,001,003,001,4169,3274,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,523,Total for all sectors,001,003,001,11052,6576,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,525,Total for all sectors,001,003,001,15845,5571,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,531,Total for all sectors,001,003,001,26812,4585,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,532,Total for all sectors,001,003,001,300413,8267,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,001,75492,8388,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,611,0,1108,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,612,8290,4614,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,642,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,620,9377,1394,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,630,7130,513,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,641,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,651,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,652,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,657,3233,21,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,521,Total for all sectors,001,004,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,511,Total for all sectors,001,004,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,518,Total for all sectors,001,004,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,519,Total for all sectors,001,004,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,522,Total for all sectors,001,004,001,1324,1204,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,523,Total for all sectors,001,004,001,3793,2119,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,525,Total for all sectors,001,004,001,4746,1309,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,531,Total for all sectors,001,004,001,7305,1319,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,532,Total for all sectors,001,004,001,57911,1873,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,001,32818,7407,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,611,0,1266,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,612,7726,4350,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,620,5423,876,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,630,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,652,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,641,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,642,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,651,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,657,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,511,Total for all sectors,020,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,518,Total for all sectors,020,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,519,Total for all sectors,020,001,001,68,210,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,521,Total for all sectors,020,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,522,Total for all sectors,020,001,001,628,857,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,523,Total for all sectors,020,001,001,2864,1686,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,525,Total for all sectors,020,001,001,4915,1638,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,531,Total for all sectors,020,001,001,7944,1412,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,532,Total for all sectors,020,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,002,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,028,001,611,0,97,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,003,001,23703,4271,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,004,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,028,001,001,4704,832,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,028,001,612,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,028,001,620,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,028,001,630,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,028,001,657,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,028,001,641,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,028,001,642,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,028,001,652,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,511,Total for all sectors,028,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,518,Total for all sectors,028,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,519,Total for all sectors,028,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,521,Total for all sectors,028,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,522,Total for all sectors,028,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,523,Total for all sectors,028,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,525,Total for all sectors,028,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,531,Total for all sectors,028,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,532,Total for all sectors,028,001,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,028,002,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,028,003,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,028,004,001,2352,564,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,001,001,463043,43340,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,001,611,0,6437,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,001,612,42925,23513,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,001,620,35674,5410,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,001,630,45249,3380,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,001,652,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,001,641,61660,2240,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,001,642,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,001,651,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,001,657,119414,573,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,511,Total for all sectors,029,001,001,1325,336,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,518,Total for all sectors,029,001,001,803,530,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,519,Total for all sectors,029,001,001,1825,1557,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,521,Total for all sectors,029,001,001,1784,2138,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,531,Total for all sectors,029,001,001,32471,5914,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,522,Total for all sectors,029,001,001,6032,5016,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,523,Total for all sectors,029,001,001,17161,9705,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,525,Total for all sectors,029,001,001,22130,7322,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,532,Total for all sectors,029,001,001,379511,10819,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,002,001,55330,9357,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,003,001,337359,27122,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,029,004,001,70354,6861,00,36740
