DATE,NGMP45300
2001-01-01,80171.426
2002-01-01,85318.547
2003-01-01,91144.945
2004-01-01,99483.963
2005-01-01,107620.219
2006-01-01,113539.032
2007-01-01,117748.606
2008-01-01,115724.104
2009-01-01,113934.961
2010-01-01,115728.996
2011-01-01,117019.432
2012-01-01,121305.114
2013-01-01,126082.901
2014-01-01,131043.519
2015-01-01,139192.472
2016-01-01,145593.768
2017-01-01,151021.798
2018-01-01,158969.547
2019-01-01,167780.098
2020-01-01,171020.708
2021-01-01,190708.533
